code,name,industry,stage,pool_type,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
603968,醋化股份,化学制品,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,12.61,12.40,12.59,12.65,1,91.0,0529D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比温和1.01；D2回落充分；D2未破支撑；D2盘中上冲明显；成交额可跟踪；换手适中
603115,海星股份,元件,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,110.40,102.94,108.74,110.73,2,83.0,0529D3｜watch｜scan｜D1较早封板；D1炸板13次偏多；D2量比温和1.19；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
600758,辽宁能源,煤炭开采,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,4.57,4.22,4.50,4.58,3,82.0,0529D3｜watch｜scan｜D1未炸板；D2量比略高1.46；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
000601,韶能股份,电力,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,8.02,7.31,7.90,8.04,4,79.0,0529D3｜watch｜scan｜D1炸板1次；D2量比温和1.24；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪
001299,美能能源,燃气Ⅱ,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,13.02,11.95,12.82,13.06,5,79.0,0529D3｜watch｜scan｜D1未炸板；D2量比略高1.31；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
600779,水井坊,白酒Ⅱ,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,34.79,30.85,34.27,34.89,6,75.0,0529D3｜watch｜scan｜D1炸板2次；D2量比略高1.46；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
605055,迎丰股份,纺织制造,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,14.87,13.47,14.65,14.91,7,73.0,0529D3｜watch｜scan｜D1较早封板；D1炸板4次偏多；D2量比略高1.26；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
600353,旭光电子,其他电子,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,23.88,22.51,23.52,23.95,8,73.0,0529D3｜watch｜scan｜D1炸板4次偏多；封板资金较足；D2量比略高1.26；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
002927,泰永长征,电网设备,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,23.29,21.45,22.94,23.36,9,72.0,0529D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比偏大1.92；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
603633,徕木股份,消费电子,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,8.88,8.08,8.75,8.91,10,72.0,0529D3｜watch｜scan｜D1炸板1次；D2量比略高1.28；D2回落刚达标；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
600863,华能蒙电,电力,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,6.64,6.10,6.54,6.66,11,71.0,0529D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比偏大1.60；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；换手适中
002072,凯瑞德,贸易Ⅱ,0529D3,watch,0529D3_watch_scan_20260529_020356.csv,8.37,7.75,8.24,8.40,12,69.0,0529D3｜watch｜scan｜D1较早封板；D1未炸板；D2量比偏大1.86；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
